id_restaurant,place_name,address,latitude,longitude,cluster
95,Tiwul Bu Sum,"Jl. Imogiri - Dlingo, Cempluk, Mangunan, Kec. Dlingo, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55783, Indonesia",-7.930947,110.424759,2
96,Tiwul Tumplek Sego Abang,"Jl. Munggur, Demangan, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55221, Indonesia",-7.786531,110.38695,2
97,Gathot Thiwul Yu Tum,"Jl. Pramuka No.36, Pandansari, Wonosari, Kec. Wonosari, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55812, Indonesia",-7.963819,110.609134,2
98,Soto Lamongan,"Jl. Sunan Drajat, Drajat, Kec. Paciran, Kabupaten Lamongan, Jawa Timur 62264, Indonesia",-6.885289,112.389242,4
99,Asih Jaya Restaurant Soto Lamongan,"Jl. Panglima Sudirman No.84, Dapur Timur, Banjarmendalan, Kec. Lamongan, Kabupaten Lamongan, Jawa Timur 62212, Indonesia",-7.113368,112.421369,0
100,Soto Ayam Lamongan Cak Mardi,"Jl. KH. Ahmad Dahlan No.53, Jetis, Tlogoanyar, Kec. Lamongan, Kabupaten Lamongan, Jawa Timur 62218, Indonesia",-7.123142,112.418759,0
101,Soto Ayam Prapatan Bandaran,"Jl. Andansari No.105, Ngaglik Timur, Sukorejo, Kec. Lamongan, Kabupaten Lamongan, Jawa Timur 62215, Indonesia",-7.117926,112.413291,0
102,Rawon Rosobo,"Jalan Raya Mojoagung No.191, Mojoagung, Pekunden, Kademangan, Jombang, Kabupaten Jombang, Jawa Timur 61482, Indonesia",-7.569609,112.345637,0
103,Rawon Setan - Embong Malang,"No.78/I, Jl. Embong Malang, Genteng, Kec. Genteng, Surabaya, Jawa Timur 60261, Indonesia",-7.2592,112.735177,0
104,Warung Crew Rawon Jawa Timur,"Jl. Raya Surabaya - Malang No.24, Krajan Kulon, Waru, Kec. Waru, Kabupaten Sidoarjo, Jawa Timur 61256, Indonesia",-7.361479,112.729118,0
105,RAWON DINOYO RAWON P.RAMELAN CABANG 1,"Jl. Tirto Utomo No.68 D, Dusun Rambaan, Landungsari, Kec. Dau, Kabupaten Malang, Jawa Timur 65151, Indonesia",-7.926801,112.594738,0
